year;site;nest;comment;;;;;;;;;;;
2010;C;1;The eggs were not measured at finding;;;;;;;;;;;
2010;C;2;;;;;;;;;;;;
2010;C;3;;;;;;;;;;;;
2010;C;4;;;;;;;;;;;;
2010;C;5;;;;;;;;;;;;
2010;C;6;Two eggs at finding;;;;;;;;;;;
2010;C;7;Two eggs at finding;;;;;;;;;;;
2010;C;8;;;;;;;;;;;;
2010;C;9;;;;;;;;;;;;
2010;C;101;;;;;;;;;;;;
2010;C;102;;;;;;;;;;;;
2010;C;103;Last obs: 514;;;;;;;;;;;
2010;C;104;;;;;;;;;;;;
2010;C;105;Last obs: 526;;;;;;;;;;;
2010;C;106;Last obs: 601;;;;;;;;;;;
2010;C;107;Last obs: 525;;;;;;;;;;;
2010;C;108;;;;;;;;;;;;
2010;C;109;Last obs: 531;;;;;;;;;;;
2010;C;110;Last obs: 602;;;;;;;;;;;
2010;C;111;;;;;;;;;;;;
2010;C;112;Last obs: 602;;;;;;;;;;;
2010;C;113;Last obs: 603;;;;;;;;;;;
2010;C;114;;;;;;;;;;;;
2010;C;115;;;;;;;;;;;;
2010;C;116;;;;;;;;;;;;
2010;C;117;Only captured one chick;;;;;;;;;;;
2010;C;118;Only captured two chicks;;;;;;;;;;;
2010;C;202;Last obs: 602;;;;;;;;;;;
2010;D;1;;;;;;;;;;;;
2010;D;2;;;;;;;;;;;;
2010;D;101;Last obs: 518;;;;;;;;;;;
2010;D;102;Last obs: 525;;;;;;;;;;;
2010;D;103;Last obs: 525;;;;;;;;;;;
2010;D;104;Last obs: 602;;;;;;;;;;;
2010;D;105;;;;;;;;;;;;
2010;E;101;small egg didn't hatch;;;;;;;;;;;
2010;E;102;;;;;;;;;;;;
2010;E;103;;;;;;;;;;;;
2010;E;104;Last fieldwork day three eggs pecking;;;;;;;;;;;
2010;F;101;Last obs: 608;;;;;;;;;;;
2010;G;1;"Nest flooded one day after being found; parents continued incubating";;;;;;;;;;;
2010;G;2;;;;;;;;;;;;
2010;G;3;;;;;;;;;;;;
2010;G;4;Nest flooded at  finding, even so parents incubating;;;;;;;;;;;
2011;A;4;Flooded 426 by irrigation water;;;;;;;;;;;
2011;A;9;;;;;;;;;;;;
2011;C;2;Nest trampled by cattle 504;;;;;;;;;;;
2011;C;1;"Two eggs when found;floated 425";;;;;;;;;;;
2011;C;201;"One egg when found;trampled by cattle 512";;;;;;;;;;;
2011;B;2;;;;;;;;;;;;
2011;A;1;;;;;;;;;;;;
2011;A;2;CF A8;;;;;;;;;;;
2011;A;11;;;;;;;;;;;;
2011;A;12;CF A7;;;;;;;;;;;
2011;A;5;CF A3;;;;;;;;;;;
2011;A;8;CF A2;;;;;;;;;;;
2011;A;102;CF B1;;;;;;;;;;;
2011;A;7;CF A12;;;;;;;;;;;
2011;B;1;CF A102;;;;;;;;;;;
2011;A;6;"One egg when found;floated 515;CF A14";;;;;;;;;;;
2011;A;3;"One egg when found;floated 429;CF A5";;;;;;;;;;;
2011;A;13;CF A10;;;;;;;;;;;
2011;A;14;CF A6;;;;;;;;;;;
2011;A;10;"Two eggs when found;third egg not floated;CF A13";;;;;;;;;;;
2011;A;104;;;;;;;;;;;;
